"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"REF**";"PinHeader_2x13_P2.54mm_Vertical_SMD";1;"PinHeader_2x13_P2.54mm_Vertical_SMD";;;
2;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
3;"C10,C11";"C_0201_0603Metric";2;"1u";;;
4;"C3,C1,C2,C4,C16,C8,C7,C6,C9,C5";"C_0201_0603Metric";10;"100n";;;
5;"R4";"R_0201_0603Metric";1;"1k";;;
6;"SW4,SW6,SW2,SW3,SW7,SW5";"SW_SPST_B3U-1000P";6;"SW_SPST";;;
7;"P1";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Plug_USB2.0";;;
8;"R3";"R_0201_0603Metric";1;"5.1k";;;
9;"C12,C13";"C_0201_0603Metric";2;"27p";;;
10;"R2,R1";"R_0201_0603Metric";2;"27.4";;;
11;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
12;"C14,C15";"C_0402_1005Metric";2;"10u";;;
13;"SW1";"SW_SPDT_PCM12";1;"SW_SPST";;;
14;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
15;"U2";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
